"State","AIDS","Syphilis","Tuberculosis"
AL,438,720,265
AK,18,9,54
AR,199,239,162
AZ,540,1147,289
CA,4315,3050,3332
CO,288,149,138
CT,584,165,121
DC,870,459,74
DE,248,79,33
FL,5138,2914,1145
GA,1745,1985,575
HI,124,41,151
IA,90,44,43
ID,19,11,9
IL,1323,1541,707
IN,378,529,115
KS,98,88,63
KY,333,191,152
LA,861,793,294
MA,765,446,270
MD,1860,937,262
ME,48,16,20
MI,548,1147,330
MN,157,132,239
MO,445,174,157
MS,418,653,154
MT,15,0,20
NC,942,1422,398
ND,3,2,6
NE,74,16,40
NH,40,20,20
NJ,1756,1040,530
NM,143,73,54
NV,252,62,96
NY,7476,3604,1676
OH,581,297,306
OK,243,288,194
OR,259,48,123
PA,1840,726,350
RI,103,39,60
SC,729,913,263
SD,25,1,13
TN,602,1478,313
TX,2892,3660,1643
UT,124,25,35
VA,951,524,306
VT,25,8,7
WA,532,174,261
WI,193,131,86
WV,100,7,32
WY,5,4,3
