Sex,Height,Weight
M,71,180
F,70,185
F,70,165
M,70,175
M,70,163
F,70,154
M,70,160
F,69,175
M,71,165
M,69,175
F,71,185
M,72,170
M,70,178
M,71,179
F,75,160
M,71,183
M,70,170
M,73,170
M,71,185
F,72,185
F,71,175
F,72,179
M,71,192
F,72,160
M,75,200
F,73,185
F,71,175
M,69,162
F,69,165
F,71,180
F,73,170
F,71,140
F,69,180
F,72,180
F,71,180
F,71,180
M,71,170
F,71,166
M,71,180
M,70,150
F,71,180
F,69,160
F,72,200
F,67,180
M,71,165
M,73,170
F,72,160
M,72,170
F,73,190
F,70,160
M,71,165
M,71,175
F,73,170
F,68,156
F,72,185
F,72,150
